LAND_USE;CLASS;TRANSPIRATION;WATER;SOIL;INTERCEPTION;AGRICULTURE;ENVIRONMENT;ECONOMY;ENERGY;LEISURE;NON_BENEFICIAL
PROTECTED;Forest;0.007000033844187649;0;0.013856446782272006;0.00938181424473276;0.0;0.017728008532490708;0.0;0.0;0.0031284720939689483;0.00938181424473276
PROTECTED;Shrubland;0.0016483556290208513;0;0.002617553827483316;0.0019948340010291408;0.0;0.0036260230380285425;0.0;0.0;0.0006398864184756251;0.0019948340010291408
PROTECTED;Natural grasslands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Natural water bodies;9.426452872859472e-06;2.960069263008072e-06;0;5.5833139523396324e-06;0.0;1.0528543815487413e-05;0.0;0.0;1.8579783203801316e-06;5.5833139523396324e-06
PROTECTED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Glaciers;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PROTECTED;Others;1.9545873569354685e-05;0;1.8686343700975053e-05;1.1246820333209983e-05;0.0;3.2497384679780276e-05;0.0;0.0;5.73483259054946e-06;1.1246820333209983e-05
UTILIZED;Forest;0.0034995962170555556;0;0.005171391925095468;0.004604634636570347;0.00017497981085277776;0.0031496365953499997;0.0;0.0;0.00017497981085277776;0.009776026561665815
UTILIZED;Shrubland;0.0009854641055224188;0;0.001271035522750979;0.0011983220942571424;4.9273205276120945e-05;0.0008376444896940559;0.0;9.854641055224189e-05;0.0;0.0024693576170081214
UTILIZED;Natural grasslands;0.00019391026791723087;0;0.00011529519660955416;0.00011789675512054756;9.695513395861544e-06;0.00018421475452136933;0.0;0.0;0.0;0.00023319195173010173
UTILIZED;Natural water bodies;0.0017636545759916905;0.001325090120140422;0;0.0004204588077481025;0.00016563626501755275;0.00026501802402808443;3.3127253003510554e-05;0.0;0.0001987635180210633;0.002846658443810004
UTILIZED;Wetlands;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UTILIZED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Rainfed crops;0.07570497126949913;0;0.1120087256895363;0.06808468651912916;0.06813447414254921;0.0;0.007570497126949913;0.0;0.0;0.18009341220866545
MODIFIED;Forest plantations;0.022644650252393983;0;0.025733306307978487;0.03733029189049711;0.020380185227154585;0.0;0.0022644650252393985;0.0;0.0;0.0630635981984756
MODIFIED;Settlements;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MODIFIED;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Irrigated crops;0.0862516363309303;0;0.17279799599015033;0.0407229158495755;0.07762647269783729;0.0;0.008625163633093031;0.0;0.0;0.21352091183972582
MANAGED CONVENTIONAL;Managed water bodies;0.033663112176391216;0.009797640003061098;0;0.00031616823721621333;0.008817876002754988;0.0;0.00097976400030611;0.0;0.0;0.03397928041360743
MANAGED CONVENTIONAL;Residential;0.03935233618200308;0;0.029157972216738232;0.008780196636775471;0.005956979707707308;0.0009928299512845515;0.022474227010165708;0.0;0.009928299512845514;0.037938168853513705
MANAGED CONVENTIONAL;Industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor domestic;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Indoor industry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Greenhouses;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Livestock and husbandry;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Power and energy;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANAGED NON_CONVENTIONAL;Others;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
