LANDUSE_TYPE;SUPPLY_SURFACEWATER;SUPPLY_GROUNDWATER;CONSUMED_ET;CONSUMED_OTHER;NON_CONVENTIONAL_ET;RECOVERABLE_SURFACEWATER;RECOVERABLE_GROUNDWATER;NON_RECOVERABLE_SURFACEWATER;NON_RECOVERABLE_GROUNDWATER;DEMAND
Forests;0.00028945796033447505;0.2891685023814734;0.2505673895538336;0.0;0.0;0.0;0.038890570998999584;0.0;0.0;0.11276539312019468
Shrubland;5.168844209752673e-05;0.05163675365672808;0.05082996700597432;0.0;0.0;0.0;0.0008584747819222046;0.0;0.0;0.021150277493624824
Rainfed Crops;0.000994857783146846;0.9938629253896827;0.9892409014291038;0.0;0.0;0.0;0.005616879758237715;0.0;0.0;0.5265698739857224
Forest Plantations;0.00037718284222039184;0.3768056593878481;0.37530626023053687;0.0;0.0;0.0;0.0018765810474123071;0.0;0.0;0.2492612810583476
Natural Water Bodies;0.009658589681586107;0.0005083468256599513;0.009815194397918402;0.0;0.0;0.0;0.00035174207932982173;0.0;0.0;0.03405932129955956
Wetlands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Natural Grasslands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Other (Non-Manmade);0.00011130463267609324;0.00011130463268182206;0.0002166203458090528;0.0;0.0;0.0;5.988920787298994e-06;0.0;0.0;7.935784887103234e-05
Irrigated crops;1.7404653273369481;0.017580607171438556;0.9353827433513899;0.0;0.0;0.3758361847892687;0.23290432325617216;0.12456071225855123;0.08936196769782208;0.5717911374627718
Managed water bodies;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Aquaculture;0.19636567871030972;0.010335035728874618;0.1036339330608641;0.0;0.0;0.09103801657228096;0.0001958296307871321;0.011786540513708421;4.639481829302193e-05;0.010548893176367462
Residential;0.44425769824850897;0.04936196648595577;0.2502666342343414;0.0;0.0;0.0;0.0;0.15177008823067195;0.09158294183268433;5.404173560190707e-05
Greenhouses;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Other;0.2035397701881754;0.022615530027308955;0.12556772243912775;0.0;0.0;0.0;0.0;0.06524737764657555;0.035340199847433036;2.780722002489057e-05
Industry;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
Power and Energy;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
